i do not have anything on the branch on github, but only readme. i created all the files, initialized the repo and now wanna commit but here what it says:
oleksii@macbook-air news_scrapper % git push -u origin main
To https://github.com/oleksii-lasiichuk/news-aggregator.git
 ! [rejected]        main -> main (fetch first)
error: failed to push some refs to 'https://github.com/oleksii-lasiichuk/news-aggregator.git'
hint: Updates were rejected because the remote contains work that you do not
hint: have locally. This is usually caused by another repository pushing to
hint: the same ref. If you want to integrate the remote changes, use
hint: 'git pull' before pushing again.
hint: See the 'Note about fast-forwards' in 'git push --help' for details.
oleksii@macbook-air news_scrapper %
The error is happening because your GitHub repository has a README.md file that doesn't exist on your local machine yet. Git won't let you push because it doesn't want you to accidentally overwrite that file. 
Since you want to keep your local files and just "sync up" with that remote README, follow these steps:
1. Pull the remote changes 
Use the --rebase flag to take the README from GitHub and put it at the beginning of your local history: 
bash
git pull origin main --rebase
Use code with caution.

2. Resolve (if needed)
If you also created a README.md locally, Git might ask you to fix a conflict. If not, it will just move your new files to sit "after" the GitHub README.
3. Push your work
Now that your local history includes everything that was on GitHub, you can push:
bash
git push -u origin main
Use code with caution.

Why this happened: When you created the repo on GitHub, you likely checked the box "Add a README file." This created the first commit on the server, making your local project "behind" the remote one. 
Did the rebase finish without any red "conflict" text, or do you need help merging the two READMEs?








5 sites
How To Fix the “Error: Failed to Push Some Refs To” in Git
1 Oct 2025 — You might also see this error if the remote repository's branch sees an update or modification, but your local repo is out of date...

Kinsta

Chapter 39 Git and GitHub | Introduction to Data Science
pull changes from the remote repo, in this case the GitHub repo

rafalab

Resolve This Git Push Error:. “Updates were rejected because the… | by james mpanga
19 Sept 2023 — Pull Changes from the Remote: Before pushing your changes, it's essential to ensure your local repository is up to date with the r...

Medium

Show all
everything worked. i did what i wanted but now i wanted to run:
cd ~/news-aggregator
docker compose up -d

# Check it started successfully
docker compose logs -f
# You should see: "n8n ready on 0.0.0.0, port 5678"
# Press Ctrl+C to stop following logs


and got:
oleks1297@n8n-server:~/news-aggregator$ docker compose up -d
unknown shorthand flag: 'd' in -d
See 'docker --help'.

Usage:  docker [OPTIONS] COMMAND
Common cause: This often happens on small VPS instances (like a $5 DigitalOcean or AWS micro instance) if the disk fills up during the "Extracting" phase.
Does df -h show that you have at least 2-3GB of free space left?




oleks1297@n8n-server:~/news-aggregator$ docker-compose up -d
Creating network "news-aggregator_default" with the default driver
Pulling n8n (n8nio/n8n:latest)...
latest: Pulling from n8nio/n8n
22b37da5853a: Extracting [==================================================>]  1.882kB/1.882kB
cb0e99e1c627: Download complete
59ef0fb7d7f5: Download complete
d1520cba0de0: Download complete
ea2debf3e1ac: Download complete
81d49b7a1dbb: Download complete
b2b928fba1f9: Download complete
4f4fb700ef54: Download complete
3d9b688f2fde: Download complete
5e4fde6196da: Download complete
d11cda7746d3: Download complete
ERROR: failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
oleks1297@n8n-server:~/news-aggregator$ df -h
Filesystem      Size  Used Avail Use% Mounted on
udev            474M     0  474M   0% /dev
tmpfs            97M  568K   97M   1% /run
/dev/sda1        30G  5.2G   23G  19% /
tmpfs           485M     0  485M   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda15      124M   12M  113M  10% /boot/efi
tmpfs            97M     0   97M   0% /run/user/1000
oleks1297@n8n-server:~/news-aggregator$ docker-compose pull n8n
Pulling n8n ... download complete

ERROR: for n8n  failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
ERROR: failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
oleks1297@n8n-server:~/news-aggregator$
Your disk space is fine (23GB available), so this isn't a "full disk" issue. The invalid tar header error means your Docker local cache has corrupted image layers that it keeps trying to reuse.
Since docker-compose pull is failing to overwrite the bad data, you need to "nuke" the corrupted cache and try again.
1. Wipe the corrupted layers
Run this to force Docker to delete all unused images and build cache:
bash
docker system prune -a --volumes -f
Use code with caution.

2. Restart the Docker service
Sometimes the Docker daemon gets stuck in a bad state when it fails to extract a layer. Give it a fresh start:
bash
sudo systemctl restart docker
Use code with caution.

3. Pull and Start again
Now that the cache is empty, try the pull again. It will take a bit longer because it has to download everything from scratch:
bash
docker-compose pull n8n
docker-compose up -d
Use code with caution.

If it still fails: Check your internet connection or DNS. Occasionally, a flaky connection or a proxy/firewall can truncate the download, leading to that "invalid tar" error.
Did the prune and restart allow the download to finish this time?




oleks1297@n8n-server:~/news-aggregator$ docker-compose pull n8n
docker-compose up -d
Pulling n8n ... download complete

ERROR: for n8n  failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
ERROR: failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
Creating network "news-aggregator_default" with the default driver
Pulling n8n (n8nio/n8n:latest)...
latest: Pulling from n8nio/n8n
22b37da5853a: Extracting [==================================================>]  1.882kB/1.882kB
cb0e99e1c627: Download complete
59ef0fb7d7f5: Download complete
d1520cba0de0: Download complete
ea2debf3e1ac: Download complete
81d49b7a1dbb: Download complete
b2b928fba1f9: Download complete
4f4fb700ef54: Download complete
3d9b688f2fde: Download complete
5e4fde6196da: Download complete
d11cda7746d3: Download complete
ERROR: failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header


think a bit longer. what it can be?
here is the instruction i am following:
# Personal News Aggregator with n8n

A fully autonomous news aggregator. Runs 24/7 in the cloud (Google Cloud Always Free VM) — your Mac can be off.

**Stack:** Google Cloud VM → n8n (Docker) → Groq AI → Supabase DB → GitHub Pages website

**Cost:** $0 forever (all free tiers)

---

## Architecture

```
11 RSS Feeds (BBC, Kyiv Independent, Reuters, HN, The Verge, etc.)
         ↓  every 2 hours
  n8n workflow (Google Cloud e2-micro VM, always on)
         ↓
  Groq API — llama-3.3-70b scores relevance (1-10) + writes 2-sentence summary
         ↓  keeps only score ≥ 6
  Supabase PostgreSQL (cloud, REST API)
         ↓
  GitHub Pages website — filters by topic, search, sort
```

---

## Step 1 — Create free accounts (≈ 25 min)

### 1a. Supabase (database)

1. Go to **supabase.com** → click **Start your project**
2. Sign up with GitHub
3. Click **New project**:
   - Project name: `news-aggregator`
   - Region: EU West (Ireland) — or closest to you
   - Plan: Free
   - Generate a strong DB password → save it somewhere
4. Wait ~2 min for provisioning
5. Go to **Settings → API** (left sidebar)
6. Copy and save:
   - **Project URL** — looks like `https://abcdefghij.supabase.co`
   - **anon public** key — long JWT starting with `eyJ...`

### 1b. Groq API (free AI)

1. Go to **console.groq.com** → sign up (Google or email)
2. Click **API Keys** → **Create API Key**
   - Name: `news-aggregator`
3. Copy the key immediately — it starts with `gsk_` and is shown only once

### 1c. GitHub

1. Go to **github.com** → log in or sign up
2. Click **+** → **New repository**:
   - Name: `news-aggregator`
   - Visibility: **Public** (required for free GitHub Pages)
   - Check "Add a README file"
3. Click **Create repository**
4. Copy the repo URL

### 1d. Google Cloud (VM for n8n)

1. Go to **cloud.google.com** → click **Get started for free**
2. Sign in with Google → complete the free trial setup (requires a credit card for identity; you will NOT be charged if you stay in Always Free limits)
3. In the Console, click the project dropdown → **New Project**
   - Name: `news-aggregator`
   - Click **Create**
4. In the left menu: **Compute Engine → VM Instances**
   - First time: click **Enable** to enable the Compute Engine API (takes ~1 min)

---

## Step 2 — Create the Google Cloud VM (≈ 10 min)

1. **Compute Engine → VM Instances → Create Instance**
2. Fill in:


   | Field          | Value                                                                                  |
   | ---------------- | ---------------------------------------------------------------------------------------- |
   | Name           | `n8n-server`                                                                           |
   | Region         | `us-central1` ← IMPORTANT: must be us-central1, us-east1, or us-west1 for Always Free |
   | Zone           | any                                                                                    |
   | Machine type   | **e2-micro** ← IMPORTANT: this is the free tier machine                               |
   | Boot disk OS   | **Debian** GNU/Linux 12 (Bookworm)                                                     |
   | Boot disk size | **30 GB** Standard persistent disk                                                     |
   | Firewall       | ✅ Allow HTTP traffic                                                                  |
   |                | ✅ Allow HTTPS traffic                                                                 |
3. Click **Create** — wait ~1 minute
4. You'll see the VM listed with an **External IP** — copy that IP address

---

## Step 3 — Set up the VM (≈ 15 min)

Click the **SSH** button next to your VM in the Console. A browser terminal opens.

Run these commands one by one:

```bash
# Update system
sudo apt update && sudo apt install -y docker.io docker-compose-plugin git

# Allow your user to run Docker without sudo
sudo usermod -aG docker $USER
newgrp docker

# Add 2 GB swap — n8n needs it on this 1 GB RAM machine
sudo fallocate -l 2G /swapfile
sudo chmod 600 /swapfile
sudo mkswap /swapfile
sudo swapon /swapfile
echo '/swapfile none swap sw 0 0' | sudo tee -a /etc/fstab

# Verify Docker works
docker run hello-world
```

---

## Step 4 — Upload project files to VM (≈ 5 min)

**Option A — via GitHub (recommended):**

On your Mac, push the project to GitHub first:

```bash
cd ~/Projects/news_scrapper
git init
git add .gitignore docker-compose.yml .env.example supabase/ website/ n8n-workflow.json README.md
git commit -m "initial commit"
git branch -M main
git remote add origin https://github.com/YOUR_USERNAME/news-aggregator.git
git push -u origin main
```

Then on the VM (in the SSH terminal):

```bash
git clone https://github.com/YOUR_USERNAME/news-aggregator.git
cd news-aggregator
```

**Option B — copy via SCP from Mac:**

```bash
# On your Mac:
scp -r ~/Projects/news_scrapper/* YOUR_VM_IP:~/news-aggregator/
```

---

## Step 5 — Configure secrets on the VM (≈ 3 min)

In the SSH terminal on the VM:

```bash
cd ~/news-aggregator

# Generate a random encryption key for n8n
openssl rand -hex 32
# Copy the output — you'll use it below

# Create your .env file
cp .env.example .env
nano .env
```

In nano, fill in your values:

```
N8N_ENCRYPTION_KEY=<paste the openssl output here>
GROQ_API_KEY=gsk_<your groq key>
SUPABASE_URL=https://<your-project>.supabase.co
SUPABASE_ANON_KEY=eyJ<your anon key>
```

Save with `Ctrl+O`, `Enter`, then `Ctrl+X`.

---

## Step 6 — Start n8n on the VM (≈ 2 min)

```bash
cd ~/news-aggregator
docker compose up -d

# Check it started successfully
docker compose logs -f
# You should see: "n8n ready on 0.0.0.0, port 5678"
# Press Ctrl+C to stop following logs
```
I’ve looked closely at your steps and the error. Since you have 23GB of space and the prune didn't fix it, there are two likely culprits specific to your Google Cloud e2-micro setup:
1. The "Half-Installed" Docker Conflict
In Step 3 of your instructions, you ran sudo apt install -y docker.io docker-compose-plugin.
On Debian/Ubuntu, docker.io is the older Debian-maintained version, while docker-compose-plugin expects the official Docker-CE version. This often causes "handshake" issues when extracting compressed image layers.
The Fix:
Force a clean install of the official Docker engine. Run these on the VM:
bash
# Remove the potentially conflicting versions
sudo apt-get remove docker docker-engine docker.io containerd runc -y

# Install the official Docker repository versions
sudo apt-get update
sudo apt-get install -y ca-certificates curl gnupg
sudo install -m 0755 -d /etc/apt/keyrings
curl -fsSL https://docker.com | sudo gpg --dearmor -o /etc/apt/keyrings/docker.gpg
sudo chmod a+r /etc/apt/keyrings/docker.gpg

# Add the repo to Apt sources
echo \
  "deb [arch="$(dpkg --print-architecture)" signed-by=/etc/apt/keyrings/docker.gpg] https://docker.com \
  "$(. /etc/os-release && echo "$VERSION_CODENAME")" stable" | \
  sudo tee /etc/apt/sources.list.d/docker.list > /dev/null

sudo apt-get update
sudo apt-get install -y docker-ce docker-ce-cli containerd.io docker-buildx-plugin docker-compose-plugin
Use code with caution.

2. The RAM / Swap "OOM" Killer
The e2-micro has only 1GB of RAM. Even though you added a swapfile, sometimes the decompression process for n8n (which is a heavy image) spikes and crashes the containerd extraction process, leading to a "corrupt tar" message because the process died mid-stream.
The Fix:
Stop Docker so it isn't fighting for RAM: sudo systemctl stop docker
Clear the partial data again: sudo rm -rf /var/lib/docker/tmp/*
Restart: sudo systemctl start docker
Try pulling again, but one at a time:
bash
docker pull n8nio/n8n:latest
Use code with caution.

3. Check the "v1 vs v2" Command
Your instructions say docker compose (v2), but you used docker-compose (v1) earlier. After running the install script in Step 1 above, always use the space:
bash
docker compose up -d
Use code with caution.

One last check:
Run free -m. Do you see 2047 under the "Swap" row? If it shows 0, your swapfile didn't activate correctly, and the 1GB RAM is definitely the reason the extraction is failing.
Does free -m show that your 2GB swap is active?




oleks1297@n8n-server:~/news-aggregator$ sudo systemctl restart docker
oleks1297@n8n-server:~/news-aggregator$ docker-compose pull n8n
docker-compose up -d
Pulling n8n ... download complete

ERROR: for n8n  failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
ERROR: failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
Creating network "news-aggregator_default" with the default driver
Pulling n8n (n8nio/n8n:latest)...
latest: Pulling from n8nio/n8n
22b37da5853a: Extracting [==================================================>]  1.882kB/1.882kB
cb0e99e1c627: Download complete
59ef0fb7d7f5: Download complete
d1520cba0de0: Download complete
ea2debf3e1ac: Download complete
81d49b7a1dbb: Download complete
b2b928fba1f9: Download complete
4f4fb700ef54: Download complete
3d9b688f2fde: Download complete
5e4fde6196da: Download complete
d11cda7746d3: Download complete
ERROR: failed to register layer: Error processing tar file(exit status 1): archive/tar: invalid tar header
oleks1297@n8n-server:~/news-aggregator$ sudo apt-get remove docker docker-engine docker.io containerd runc -y
Reading package lists... Done
Building dependency tree... Done
Reading state information... Done
E: Unable to locate package docker-engine
oleks1297@n8n-server:~/news-aggregator$ sudo apt-get update
Get:1 file:/etc/apt/mirrors/debian.list Mirrorlist [30 B]
Get:5 file:/etc/apt/mirrors/debian-security.list Mirrorlist [39 B]                      
Hit:7 https://packages.cloud.google.com/apt google-compute-engine-bookworm-stable InRelease
Hit:2 https://deb.debian.org/debian bookworm InRelease       
Hit:3 https://deb.debian.org/debian bookworm-updates InRelease
Hit:4 https://deb.debian.org/debian bookworm-backports InRelease
Hit:8 https://packages.cloud.google.com/apt cloud-sdk-bookworm InRelease
Hit:6 https://deb.debian.org/debian-security bookworm-security InRelease
Hit:9 https://packages.cloud.google.com/apt google-cloud-ops-agent-bookworm-2 InRelease
Reading package lists... Done
oleks1297@n8n-server:~/news-aggregator$ sudo apt-get install -y ca-certificates curl gnupg
Reading package lists... Done
Building dependency tree... Done
Reading state information... Done
ca-certificates is already the newest version (20230311+deb12u1).
curl is already the newest version (7.88.1-10+deb12u14).
gnupg is already the newest version (2.2.40-1.1+deb12u2).
gnupg set to manually installed.
0 upgraded, 0 newly installed, 0 to remove and 12 not upgraded.
oleks1297@n8n-server:~/news-aggregator$ sudo install -m 0755 -d /etc/apt/keyrings
oleks1297@n8n-server:~/news-aggregator$ curl -fsSL https://docker.com | sudo gpg --dearmor -o /etc/apt/keyrings/docker.gpg
gpg: no valid OpenPGP data found.
oleks1297@n8n-server:~/news-aggregator$ sudo chmod a+r /etc/apt/keyrings/docker.gpg
oleks1297@n8n-server:~/news-aggregator$ echo \
  "deb [arch="$(dpkg --print-architecture)" signed-by=/etc/apt/keyrings/docker.gpg] https://docker.com \
  "$(. /etc/os-release && echo "$VERSION_CODENAME")" stable" | \
  sudo tee /etc/apt/sources.list.d/docker.list > /dev/null
oleks1297@n8n-server:~/news-aggregator$ sudo apt-get update
Get:1 file:/etc/apt/mirrors/debian.list Mirrorlist [30 B]
Get:2 file:/etc/apt/mirrors/debian-security.list Mirrorlist [39 B]                     
Hit:8 https://packages.cloud.google.com/apt google-compute-engine-bookworm-stable InRelease         
Hit:3 https://deb.debian.org/debian bookworm InRelease
Hit:9 https://packages.cloud.google.com/apt cloud-sdk-bookworm InRelease
Hit:4 https://deb.debian.org/debian bookworm-updates InRelease
Hit:5 https://deb.debian.org/debian bookworm-backports InRelease
Hit:10 https://packages.cloud.google.com/apt google-cloud-ops-agent-bookworm-2 InRelease
Hit:6 https://deb.debian.org/debian-security bookworm-security InRelease
Ign:7 https://www.docker.com bookworm InRelease        
Err:11 https://www.docker.com bookworm Release
  404  Not Found [IP: 23.185.0.4 443]
Reading package lists... Done
E: The repository 'https://docker.com bookworm Release' does not have a Release file.
N: Updating from such a repository can't be done securely, and is therefore disabled by default.
N: See apt-secure(8) manpage for repository creation and user configuration details.
oleks1297@n8n-server:~/news-aggregator$ sudo apt-get install -y docker-ce docker-ce-cli containerd.io docker-buildx-plugin docker-compose-plugin
Reading package lists... Done
Building dependency tree... Done
Reading state information... Done
Package docker-ce is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

Package docker-ce-cli is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

E: Package 'docker-ce' has no installation candidate
E: Package 'docker-ce-cli' has no installation candidate
E: Unable to locate package containerd.io
E: Couldn't find any package by glob 'containerd.io'
E: Couldn't find any package by regex 'containerd.io'
E: Unable to locate package docker-buildx-plugin
E: Unable to locate package docker-compose-plugin
oleks1297@n8n-server:~/news-aggregator$
That happened because the URL was slightly wrong in my previous message (missing the download. prefix), which caused the "404 Not Found" error. Let's fix that repository and get the right Docker version installed.
Run these specific commands to fix the source list and install:
1. Fix the Repo URL
bash
# Delete the broken source file
sudo rm /etc/apt/sources.list.d/docker.list
sudo rm /etc/apt/keyrings/docker.gpg

# Re-download the key with the correct URL
curl -fsSL https://docker.com | sudo gpg --dearmor -o /etc/apt/keyrings/docker.gpg

# Add the correct repository
echo \
  "deb [arch=$(dpkg --print-architecture) signed-by=/etc/apt/keyrings/docker.gpg] https://docker.com \
  $(. /etc/os-release && echo "$VERSION_CODENAME") stable" | \
  sudo tee /etc/apt/sources.list.d/docker.list > /dev/null
Use code with caution.

2. Update and Install
bash
sudo apt-get update
sudo apt-get install -y docker-ce docker-ce-cli containerd.io docker-buildx-plugin docker-compose-plugin
Use code with caution.

3. Verify RAM and Try Again
Since you are on a small e2-micro, check if your swap is actually working before pulling:
bash
free -m
Use code with caution.

If "Swap" shows 0, your n8n extraction will likely keep failing. If it shows 2047, you are good to go:
bash
cd ~/news-aggregator
docker compose up -d
Use code with caution.

Why this matters: The docker.io version you had before is often buggy on Google Cloud's Debian image. The official docker-ce version handles image extraction much more reliably on low-RAM machines.
Does free -m show that your swap is active now?




oleks1297@n8n-server:~/news-aggregator$ sudo apt-get install -y docker-ce docker-ce-cli containerd.io docker-buildx-plugin docker-compose-plugin
Reading package lists... Done
Building dependency tree... Done
Reading state information... Done
Package docker-ce is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

Package docker-ce-cli is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

E: Package 'docker-ce' has no installation candidate
E: Package 'docker-ce-cli' has no installation candidate
E: Unable to locate package containerd.io
E: Couldn't find any package by glob 'containerd.io'
E: Couldn't find any package by regex 'containerd.io'
E: Unable to locate package docker-buildx-plugin
E: Unable to locate package docker-compose-plugin
oleks1297@n8n-server:~/news-aggregator$ sudo rm /etc/apt/sources.list.d/docker.list
oleks1297@n8n-server:~/news-aggregator$ sudo rm /etc/apt/keyrings/docker.gpg
oleks1297@n8n-server:~/news-aggregator$ curl -fsSL https://docker.com | sudo gpg --dearmor -o /etc/apt/keyrings/docker.gpg
gpg: no valid OpenPGP data found.
oleks1297@n8n-server:~/news-aggregator$ echo \
  "deb [arch=$(dpkg --print-architecture) signed-by=/etc/apt/keyrings/docker.gpg] https://docker.com \
  $(. /etc/os-release && echo "$VERSION_CODENAME") stable" | \
  sudo tee /etc/apt/sources.list.d/docker.list > /dev/null
oleks1297@n8n-server:~/news-aggregator$ sudo apt-get update
Get:1 file:/etc/apt/mirrors/debian.list Mirrorlist [30 B]
Get:2 file:/etc/apt/mirrors/debian-security.list Mirrorlist [39 B]                      
Hit:7 https://packages.cloud.google.com/apt google-compute-engine-bookworm-stable InRelease          
Hit:9 https://packages.cloud.google.com/apt cloud-sdk-bookworm InRelease                                            
Hit:3 https://deb.debian.org/debian bookworm InRelease                       
Hit:4 https://deb.debian.org/debian bookworm-updates InRelease
Hit:5 https://deb.debian.org/debian bookworm-backports InRelease
Hit:10 https://packages.cloud.google.com/apt google-cloud-ops-agent-bookworm-2 InRelease
Hit:6 https://deb.debian.org/debian-security bookworm-security InRelease     
Ign:8 https://www.docker.com bookworm InRelease        
Err:11 https://www.docker.com bookworm Release
  404  Not Found [IP: 23.185.0.4 443]
Reading package lists... Done
E: The repository 'https://docker.com bookworm Release' does not have a Release file.
N: Updating from such a repository can't be done securely, and is therefore disabled by default.
N: See apt-secure(8) manpage for repository creation and user configuration details.
oleks1297@n8n-server:~/news-aggregator$ sudo apt-get install -y docker-ce docker-ce-cli containerd.io docker-buildx-plugin docker-compose-plugin
Reading package lists... Done
Building dependency tree... Done
Reading state information... Done
Package docker-ce is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

Package docker-ce-cli is not available, but is referred to by another package.
This may mean that the package is missing, has been obsoleted, or
is only available from another source

E: Package 'docker-ce' has no installation candidate
E: Package 'docker-ce-cli' has no installation candidate
E: Unable to locate package containerd.io
E: Couldn't find any package by glob 'containerd.io'
E: Couldn't find any package by regex 'containerd.io'
E: Unable to locate package docker-buildx-plugin
E: Unable to locate package docker-compose-plugin
